SSC_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SSC41237,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,6,3,0,13
SSC41238,0,0,0,0,0,0,0,0,0,9,11,0,19,3,0,3,20,4,0,23
SSC41239,0,0,0,0,0,0,3,0,4,17,16,3,39,4,3,8,44,55,3,102
SSC41240,0,0,0,0,0,0,3,0,3,58,78,7,142,11,4,16,162,111,3,268
SSC41241,0,0,0,0,0,0,0,0,3,34,18,3,54,3,0,3,61,38,0,97
SSC41242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC41243,0,0,0,0,0,0,0,0,0,46,47,3,96,4,7,7,102,44,0,149
SSC41244,0,3,0,0,0,3,0,0,5,49,60,8,114,3,11,9,124,61,0,192
SSC41245,0,0,0,0,0,0,0,0,0,14,9,0,25,3,0,3,24,13,0,39
SSC41246,0,0,0,0,0,0,3,0,3,39,48,10,98,10,5,19,113,94,0,210
SSC41247,0,0,0,0,0,0,4,0,4,21,11,0,28,3,7,6,41,39,4,80
SSC41248,0,0,0,0,0,0,0,0,0,11,3,0,19,0,0,0,17,3,0,23
SSC41249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41250,0,0,0,0,0,0,0,0,0,5,13,3,23,0,0,0,22,26,0,54
SSC41251,0,0,0,0,0,0,0,0,0,6,10,3,14,0,0,0,16,4,0,20
SSC41252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,10
